num_comments,num_likes,num_new_celebrities,num_traditional_celebrities,brandname,productcategory
143,68746,0,0,mercedesbenz,car
41,1592,0,0,hyundaiusa,car
582,166290,0,0,forever21,apparels
690,146119,0,0,hm,apparels
5,2371,0,0,toyotausa,car
1208,103899,0,0,adidas,sports equipment
48,9009,0,0,esteelauder,beauty&cosmetic
59,46078,0,0,topshop,apparels
64,31318,0,0,danielwellington,jewellery&watches
22,725,0,0,kitchenaidusa,home equipment
18,5615,0,0,revlon,beauty&cosmetic
233,80096,0,0,mercedesbenz,car
11,1571,0,0,toyotausa,car
15,4945,0,0,ferrariusa,car
597,132175,0,0,forever21,apparels
203,58602,0,0,topshop,apparels
61,38965,0,0,topshop,apparels
205,47016,0,0,topshop,apparels
326,96559,0,0,mercedesbenz,car
77,27518,0,0,danielwellington,jewellery&watches
106,35334,0,0,danielwellington,jewellery&watches
374,88681,0,0,mercedesbenz,car
233,103099,0,0,hm,apparels
123,8104,0,0,tagheuer,jewellery&watches
415,54271,0,0,lamborghini,car
422,95046,0,0,bmw,car
800,75789,0,0,mercedesbenz,car
351,100215,0,0,bmw,car
147,26120,0,0,danielwellington,jewellery&watches
166,53862,0,0,dior,apparels
10,5046,0,0,revlon,beauty&cosmetic
12,5139,0,0,ferrariusa,car
545,106267,0,0,hm,apparels
255,77378,0,0,mercedesbenz,car
29,8940,0,0,esteelauder,beauty&cosmetic
2069,124840,0,0,bmw,car
1722,214552,0,0,forever21,apparels
71,71387,0,0,mercedesbenz,car
70,51135,0,0,topshop,apparels
20,5654,0,0,ferrariusa,car
7,1078,0,0,lovisajewellery,jewellery&watches
4,2291,0,0,toyotausa,car
387,89869,0,0,mercedesbenz,car
69,26845,0,0,danielwellington,jewellery&watches
382,91971,0,0,mercedesbenz,car
101,8149,0,0,tagheuer,jewellery&watches
14,2677,0,0,cottononbody,sports equipment
383,41116,0,0,danielwellington,jewellery&watches
425,83049,0,0,mercedesbenz,car
562,110469,0,0,chanelofficial,apparels
298,79235,0,0,bmw,car
16,4453,0,0,ferrariusa,car
393,92740,0,0,bmw,car
102,68280,0,0,mercedesbenz,car
374,93317,0,0,bmw,car
58,26812,0,0,danielwellington,jewellery&watches
57,10684,0,0,esteelauder,beauty&cosmetic
70,60797,0,0,mercedesbenz,car
8,4844,0,0,ferrariusa,car
16,2047,0,0,toyotausa,car
68,7279,0,0,revlon,beauty&cosmetic
265,71450,0,0,mercedesbenz,car
2,2903,0,0,toyotausa,car
90,29359,0,0,danielwellington,jewellery&watches
9,837,0,0,lovisajewellery,jewellery&watches
661,75425,0,0,mercedesbenz,car
494,120055,0,0,hm,apparels
81,50584,0,0,topshop,apparels
1951,134185,0,0,bmw,car
181,18157,0,0,bulgariofficial,jewellery&watches
437,85312,0,0,mercedesbenz,car
174,57360,0,0,topshop,apparels
743,65673,0,0,dior,apparels
499,104541,0,0,bmw,car
60,7461,0,0,esteelauder,beauty&cosmetic
125,39128,0,0,lamborghini,car
506,148381,0,0,hm,apparels
53,14566,0,0,bulgariofficial,jewellery&watches
780,57091,0,0,dior,apparels
86,6525,0,0,tagheuer,jewellery&watches
143,31607,0,0,lamborghini,car
9,3717,0,0,yslbeauty,beauty&cosmetic
1682,149117,0,0,bmw,car
342,35699,0,0,danielwellington,jewellery&watches
5,1290,0,0,hyundaiusa,car
113,71614,0,0,mercedesbenz,car
245,82099,0,0,hm,apparels
20,4374,0,0,ferrariusa,car
405,155366,0,0,forever21,apparels
63,2342,0,0,toyotausa,car
182,86596,0,0,adidas,sports equipment
44,7976,0,0,esteelauder,beauty&cosmetic
28,829,0,0,kitchenaidusa,home equipment
118,33227,0,0,danielwellington,jewellery&watches
559,21685,0,0,tiffanyandco,jewellery&watches
