num_comments,num_likes,num_new_celebrities,num_traditional_celebrities,brandname,productcategory
1403,163325,0,0,hm,apparels
17,4456,0,0,tagheuer,jewellery&watches
60,48189,0,0,topshop,apparels
688,85855,0,0,mercedesbenz,car
248,62597,0,0,topshop,apparels
603,41115,0,0,dior,apparels
1473,155152,0,0,hm,apparels
634,108134,0,0,bmw,car
36,10153,0,0,bulgariofficial,jewellery&watches
366,151855,0,0,forever21,apparels
132,7441,0,0,tagheuer,jewellery&watches
106,36120,0,0,lamborghini,car
112,39223,0,0,topshop,apparels
357,95746,0,0,adidas,sports equipment
87,77190,0,0,hm,apparels
188,6670,0,0,yslbeauty,beauty&cosmetic
275,72502,0,0,bmw,car
93,9967,0,0,esteelauder,beauty&cosmetic
347,30995,0,0,danielwellington,jewellery&watches
9,1693,0,0,hyundaiusa,car
104,65167,0,0,mercedesbenz,car
89,7312,0,0,esteelauder,beauty&cosmetic
8,374,0,0,kitchenaidusa,home equipment
155,8179,0,0,revlon,beauty&cosmetic
